NBA Team Name,Color 1,Color 2,Color 3,Color 4,Color 5
Atlanta Hawks,E03A3E,C1D32F,26282A,,
Boston Celtics,007A33,BA9653,963821,FFFFFF,000000
Brooklyn Nets,000000,FFFFFF,,,
Charlotte Hornets,1D1160,00788C,A1A1A4,,
Chicago Bulls,CE1141,000000,,,
Cleveland Cavaliers,860038,041E42,FDBB30,000000,
Dallas Mavericks,00538C,002B5E,B8C4CA,000000,
Denver Nuggets,0E2240,FEC524,8B2131,1D428A,
Detroit Pistons,C8102E,1D42BA,BEC0C2,002D62,
Golden State Warriors,1D428A,FFC72C,,,
Houston Rockets,CE1141,000000,C4CED4,,
Indiana Pacers,002D62,FDBB30,BEC0C2,,
Los Angeles Clippers,C8102E,1D428A,BEC0C2,000000,
Los Angeles Lakers,552583,FDB927,000000,,
Memphis Grizzlies,5D76A9,12173F,F5B112,707271,
Miami Heat,98002E,F9A01B,000000,,
Milwaukee Bucks,00471B,EEE1C6,0077C0,000000,
Minnesota Timberwolves,0C2340,236192,9EA2A2,78BE20,
New Orleans Pelicans,0C2340,C8102E,85714D,,
New York Knicks,006BB6,F58426,BEC0C2,000000,
Oklahoma City Thunder,007AC1,EF3B24,002D62,FDBB30,
Orlando Magic,0077C0,C4CED4,000000,,
Philadelphia 76ers,006BB6,ED174C,002B5C,C4CED4,
Phoenix Suns,1D1160,E56020,000000,63727A,F9AD1B
Portland Trail Blazers,E03A3E,000000,,,
Sacramento Kings,5A2D81,63727A,000000,,
San Antonio Spurs,C4CED4,000000,,,
Toronto Raptors,CE1141,000000,A1A1A4,B4975A,
Utah Jazz,002B5C,00471B,F9A01B,,
Washington Wizards,002B5C,E31837,C4CED4,,
