Rank,idPlayer,Team,Player,Salary
1,201939,Golden State Warriors,Stephen Curry,43006362
2,101108,Phoenix Suns,Chris Paul,41358814
3,201566,Washington Wizards,Russell Westbrook,41358814
4,201935,Brooklyn Nets,James Harden,41254920
5,202322,Houston Rockets,John Wall,41254920
6,201142,Brooklyn Nets,Kevin Durant,40108950
7,2544,Los Angeles Lakers,LeBron James,39219565
8,202331,LA Clippers,Paul George,35450412
9,202691,Golden State Warriors,Klay Thompson,35361360
10,201144,Utah Jazz,Mike Conley,34502130
11,202689,Boston Celtics,Kemba Walker,34379100
12,202710,Miami Heat,Jimmy Butler,34379100
13,202695,LA Clippers,Kawhi Leonard,34379100
14,202699,Philadelphia 76ers,Tobias Harris,34358850
15,203114,Milwaukee Bucks,Khris Middleton,33051724
16,203076,Los Angeles Lakers,Anthony Davis,32742000
17,202681,Brooklyn Nets,Kyrie Irving,31742000
18,203081,Portland Trail Blazers,Damian Lillard,31626953
19,201567,Cleveland Cavaliers,Kevin Love,31258256
20,1627783,Toronto Raptors,Pascal Siakam,30559200
21,1627732,Philadelphia 76ers,Ben Simmons,30559200
22,200768,Toronto Raptors,Kyle Lowry,30500000
23,203500,New Orleans Pelicans,Steven Adams,29592696
24,203954,Philadelphia 76ers,Joel Embiid,29542010
25,203952,Golden State Warriors,Andrew Wiggins,29542010
26,203999,Denver Nuggets,Nikola Jokic,29542010
27,204001,Dallas Mavericks,Kristaps Porzingis,29467800
28,1626164,Phoenix Suns,Devin Booker,29467800
29,1626157,Minnesota Timberwolves,Karl-Anthony Towns,29467800
30,203468,Portland Trail Blazers,CJ McCollum,29354152
31,203078,Washington Wizards,Bradley Beal,28751775
32,1626156,Minnesota Timberwolves,D'Angelo Russell,28649250
33,202330,Charlotte Hornets,Gordon Hayward,28500000
34,203490,Orlando Magic,Otto Porter Jr.,28489237
35,201942,San Antonio Spurs,DeMar DeRozan,27739975
36,203507,Milwaukee Bucks,Giannis Antetokounmpo,27528090
37,203497,Utah Jazz,Rudy Gobert,27525281
38,201143,Oklahoma City Thunder,Al Horford,27500000
39,1627750,Denver Nuggets,Jamal Murray,27285000
40,1627742,New Orleans Pelicans,Brandon Ingram,27285000
41,201950,Milwaukee Bucks,Jrue Holiday,26231111
42,202696,Chicago Bulls,Nikola Vucevic,26000000
43,202718,Atlanta Hawks,Chandler Parsons,25102511
44,1627741,Sacramento Kings,Buddy Hield,24701834
45,200746,Brooklyn Nets,LaMarcus Aldridge,24000000
46,1627759,Boston Celtics,Jaylen Brown,23735118
47,203110,Golden State Warriors,Draymond Green,22246956
48,203084,Sacramento Kings,Harrison Barnes,22215909
49,,Toronto Raptors,Fred VanVleet,21250000
50,203506,Miami Heat,Victor Oladipo,21000000
51,1627763,Indiana Pacers,Malcolm Brogdon,20700000
52,1627734,Indiana Pacers,Domantas Sabonis,19800000
53,203914,Orlando Magic,Gary Harris,19610714
54,203897,Chicago Bulls,Zach LaVine,19500000
55,201568,Atlanta Hawks,Danilo Gallinari,19500000
56,203924,Detroit Pistons,Jerami Grant,19050000
57,203501,Dallas Mavericks,Tim Hardaway Jr.,18975000
58,1626179,Charlotte Hornets,Terry Rozier,18900000
59,203944,New York Knicks,Julius Randle,18900000
60,203459,Minnesota Timberwolves,Allen Crabbe,18500000
61,203932,Denver Nuggets,Aaron Gordon,18136364
62,201609,Miami Heat,Goran Dragic,18000000
63,1626167,Indiana Pacers,Myles Turner,18000000
64,203992,Atlanta Hawks,Bogdan Bogdanovic,18000000
65,202711,Utah Jazz,Bojan Bogdanovic,17850000
66,203095,Boston Celtics,Evan Fournier,17150000
67,201937,Minnesota Timberwolves,Ricky Rubio,17000000
68,202339,New Orleans Pelicans,Eric Bledsoe,16875000
69,201569,Houston Rockets,Eric Gordon,16869276
70,,Orlando Magic,Timofey Mozgov,16720000
71,1627747,Indiana Pacers,Caris LeVert,16203704
72,203925,Brooklyn Nets,Joe Harris,16071429
73,201949,New Orleans Pelicans,James Johnson,16047100
74,203471,Los Angeles Lakers,Dennis Schroder,16000000
75,203991,Atlanta Hawks,Clint Capela,16000000
76,203469,Charlotte Hornets,Cody Zeller,15415730
77,201980,Philadelphia 76ers,Danny Green,15365853
78,2738,Miami Heat,Andre Iguodala,15000000
79,202722,Washington Wizards,Davis Bertans,15000000
80,202685,Memphis Grizzlies,Jonas Valanciunas,15000000
81,202694,LA Clippers,Marcus Morris Sr.,14888721
82,202337,Miami Heat,Luke Babbitt,14651700
83,200752,San Antonio Spurs,Rudy Gay,14500000
84,1626162,Golden State Warriors,Kelly Oubre Jr.,14375000
85,1627749,San Antonio Spurs,Dejounte Murray,14286000
86,203115,Denver Nuggets,Will Barton,13723214
87,101162,LA Clippers,Marcin Gortat,13565218
88,201152,Chicago Bulls,Thaddeus Young,13545000
89,201988,San Antonio Spurs,Patty Mills,13535714
90,203082,Orlando Magic,Terrence Ross,13500000
91,203935,Boston Celtics,Marcus Smart,13446428
92,1627736,Minnesota Timberwolves,Malik Beasley,13425895
93,201976,LA Clippers,Patrick Beverley,13333333
94,,Houston Rockets,Christian Wood,13015873
95,200755,Dallas Mavericks,JJ Redick,13013700
96,1626159,Memphis Grizzlies,Justise Winslow,13000000
97,203994,Portland Trail Blazers,Jusuf Nurkic,12888889
98,2772,Miami Heat,Trevor Ariza,12800000
99,201584,Dallas Mavericks,Courtney Lee,12759670
100,201572,Milwaukee Bucks,Brook Lopez,12697674
101,202709,Detroit Pistons,Cory Joseph,12600000
102,203482,Houston Rockets,Kelly Olynyk,12598243
103,203101,Memphis Grizzlies,Miles Plumlee,12500000
104,202703,Milwaukee Bucks,Nikola Mirotic,12500000
105,203933,Indiana Pacers,T.J. Warren,12500000
106,201936,Indiana Pacers,Tyreke Evans,12400000
107,1628365,Orlando Magic,Markelle Fultz,12288697
108,1627752,Cleveland Cavaliers,Taurean Prince,12250000
109,203503,Atlanta Hawks,Tony Snell,12178571
110,,Portland Trail Blazers,Robert Covington,12138345
111,203484,Los Angeles Lakers,Kentavious Caldwell-Pope,12073020
112,1626204,Cleveland Cavaliers,Larry Nance Jr.,11709091
113,2216,Dallas Mavericks,Zach Randolph,11692308
114,203903,Utah Jazz,Jordan Clarkson,11500000
115,203915,Brooklyn Nets,Spencer Dinwiddie,11454048
116,1628415,Memphis Grizzlies,Dillon Brooks,11400000
117,201600,Chicago Bulls,Omer Asik,11286516
118,203939,Dallas Mavericks,Dwight Powell,11080125
119,1628366,New Orleans Pelicans,Lonzo Ball,11003782
120,1626196,Dallas Mavericks,Josh Richardson,10865952
121,1626181,Portland Trail Blazers,Norman Powell,10865952
122,,Utah Jazz,Joe Ingles,10863637
123,203087,Indiana Pacers,Jeremy Lamb,10500000
124,201599,Brooklyn Nets,DeAndre Jordan,10375678
125,1629627,New Orleans Pelicans,Zion Williamson,10245480
126,203918,Toronto Raptors,Rodney Hood,10047450
127,203107,Chicago Bulls,Tomas Satoransky,10000000
128,201954,Los Angeles Lakers,Darren Collison,10000000
129,1628369,Boston Celtics,Jayson Tatum,9897120
130,1630162,Minnesota Timberwolves,Anthony Edwards,9757440
131,202329,Chicago Bulls,Al-Farouq Aminu,9720900
132,203957,Cleveland Cavaliers,Dante Exum,9600000
133,201588,Philadelphia 76ers,George Hill,9590602
134,1629001,Memphis Grizzlies,De'Anthony Melton,9571712
135,1629028,Phoenix Suns,Deandre Ayton,9562920
136,203937,Memphis Grizzlies,Kyle Anderson,9505100
137,203086,Miami Heat,Meyers Leonard,9400000
138,1626149,Los Angeles Lakers,Montrezl Harrell,9258000
139,202324,Utah Jazz,Derrick Favors,9258000
140,203109,Phoenix Suns,Jae Crowder,9258000
141,201586,LA Clippers,Serge Ibaka,9258000
142,,Portland Trail Blazers,Derrick Jones Jr.,9258000
143,202684,Boston Celtics,Tristan Thompson,9258000
144,203967,Phoenix Suns,Dario Saric,9250000
145,1629630,Memphis Grizzlies,Ja Morant,9166800
146,1626153,Sacramento Kings,Delon Wright,9000000
147,1628963,Sacramento Kings,Marvin Bagley III,8963640
148,1626224,Cleveland Cavaliers,Cedi Osman,8840580
149,1626145,Memphis Grizzlies,Tyus Jones,8817143
150,1630164,Golden State Warriors,James Wiseman,8730240
151,,Utah Jazz,Royce O'Neale,8500000
152,1628418,Washington Wizards,Thomas Bryant,8333333
153,101139,Boston Celtics,CJ Miles,8333333
154,,Dallas Mavericks,Maxi Kleber,8325000
155,1629628,New York Knicks,RJ Barrett,8231760
156,1627751,San Antonio Spurs,Jakob Poeltl,8101852
157,1628368,Sacramento Kings,De'Aaron Fox,8099627
158,1629029,Dallas Mavericks,Luka Doncic,8049360
159,203486,Detroit Pistons,Mason Plumlee,8000000
160,101150,Atlanta Hawks,Lou Williams,8000000
161,200782,Milwaukee Bucks,P.J. Tucker,7969537
162,1630163,Charlotte Hornets,LaMelo Ball,7839960
163,,Philadelphia 76ers,Seth Curry,7834449
164,201565,New York Knicks,Derrick Rose,7682927
165,,Chicago Bulls,Cristiano Felicio,7529020
166,200765,LA Clippers,Rajon Rondo,7500000
167,201589,Phoenix Suns,Darrell Arthur,7464912
168,1629631,Atlanta Hawks,De'Andre Hunter,7422000
169,1628371,Orlando Magic,Jonathan Isaac,7362566
170,203926,Indiana Pacers,Doug McDermott,7333333
171,201577,Washington Wizards,Robin Lopez,7300000
172,1628991,Memphis Grizzlies,Jaren Jackson Jr.,7257360
173,,Denver Nuggets,JaMychal Green,7199760
174,1630172,Chicago Bulls,Patrick Williams,7068360
175,,Toronto Raptors,Aron Baynes,7000000
176,203121,Oklahoma City Thunder,Darius Miller,7000000
177,1627826,LA Clippers,Ivica Zubac,7000000
178,,Toronto Raptors,Chris Boucher,6750000
179,1628374,Chicago Bulls,Lauri Markkanen,6731508
180,1629636,Cleveland Cavaliers,Darius Garland,6720720
181,201571,Houston Rockets,D.J. Augustin,6666667
182,1629027,Atlanta Hawks,Trae Young,6571800
183,1627823,Minnesota Timberwolves,Juancho Hernangomez,6493000
184,1630171,Cleveland Cavaliers,Isaac Okoro,6400920
185,,LA Clippers,Milos Teodosic,6300000
186,1628373,New York Knicks,Frank Ntilikina,6176578
187,202325,Washington Wizards,Wesley Johnson,6134520
188,1629633,Minnesota Timberwolves,Jarrett Culver,6104280
189,,Washington Wizards,Ish Smith,6000000
190,202692,New York Knicks,Alec Burks,6000000
191,1628964,Orlando Magic,Mo Bamba,5969040
192,1630168,Atlanta Hawks,Onyeka Okongwu,5813640
193,,Indiana Pacers,Justin Holiday,5720000
194,,Washington Wizards,Jonathon Simmons,5700000
195,1628372,Detroit Pistons,Dennis Smith Jr.,5686677
196,202340,Houston Rockets,Avery Bradley,5635000
197,1629632,Chicago Bulls,Coby White,5572680
198,1626168,San Antonio Spurs,Trey Lyles,5500000
199,203518,Oklahoma City Thunder,Alex Abrines,5455236
200,201160,New Orleans Pelicans,Jason Smith,5450000
201,1628976,Orlando Magic,Wendell Carter Jr.,5448840
202,1628380,San Antonio Spurs,Zach Collins,5406255
203,1628370,Charlotte Hornets,Malik Monk,5345687
204,1630165,Detroit Pistons,Killian Hayes,5307120
205,201582,LA Clippers,Alexis Ajinca,5285394
206,1628379,LA Clippers,Luke Kennard,5273826
