ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB,ALL_STAR_APPEARANCES,PIE
1505,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",T. Abdul-Wahad,tariq-abdul-wahad,1974-11-03T00:00:00,San Jose State,France,San Jose State/France,78,235,6,9,Forward-Guard,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,tariq_abdul-wahad,1997,2003,N,Y,Y,1997,1,11,7.8,1.1,3.3,0,
949,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",S. Abdur-Rahim,shareef-abdur-rahim,1976-12-11T00:00:00,California,USA,California/USA,81,245,12,3,Forward,Inactive,N,1610612763,Grizzlies,VAN,grizzlies,Vancouver,shareef_abdur-rahim,1996,2007,N,Y,Y,1996,1,3,18.1,2.5,7.5,1,
203518,Alex,Abrines,Alex Abrines,"Abrines, Alex",A. Abrines,alex-abrines,1993-08-01T00:00:00,FC Barcelona,Spain,FC Barcelona/Spain,78,200,2,"",Guard,Inactive,N,0,"","","","",alex_abrines,2016,2018,N,Y,Y,2013,2,32,5.3,0.5,1.4,0,
101165,Alex,Acker,Alex Acker,"Acker, Alex",A. Acker,alex-acker,1983-01-21T00:00:00,Pepperdine,USA,Pepperdine/USA,77,185,2,3,Guard,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,alex_acker,2005,2008,Y,Y,Y,2005,2,60,2.7,0.5,1,0,
203112,Quincy,Acy,Quincy Acy,"Acy, Quincy",Q. Acy,quincy-acy,1990-10-06T00:00:00,Baylor,USA,Baylor/USA,79,240,6,"",Forward,Inactive,N,0,"","","","",quincy_acy,2012,2018,Y,Y,Y,2012,2,37,4.9,0.6,3.5,0,
200801,Hassan,Adams,Hassan Adams,"Adams, Hassan",H. Adams,hassan-adams,1984-06-20T00:00:00,Arizona,USA,Arizona/USA,76,220,1,"",Forward,Inactive,N,0,"","","","",hassan_adams,2006,2008,N,Y,Y,2006,2,54,2.5,0.2,1.2,0,
1629121,Jaylen,Adams,Jaylen Adams,"Adams, Jaylen",J. Adams,jaylen-adams,1996-05-04T00:00:00,St. Bonaventure,USA,St. Bonaventure/USA,72,225,2,"",Guard,Inactive,Y,0,"","","","",jaylen_adams,2018,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted,0.3,0.3,0.4,,-0.017
203919,Jordan,Adams,Jordan Adams,"Adams, Jordan",J. Adams,jordan-adams,1994-07-08T00:00:00,UCLA,USA,UCLA/USA,77,209,2,3,Guard,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014,2015,Y,Y,Y,2014,1,22,3.2,0.6,0.9,0,
203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,steven-adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,83,265,7,12,Center,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,steven_adams,2013,2020,N,Y,Y,2013,1,12,8.1,2,9.2,,0.093
1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,81,255,3,13,Center-Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2020,N,Y,Y,2017,1,14,19.2,5.4,9.5,,0.167
1629061,Deng,Adel,Deng Adel,"Adel, Deng",D. Adel,deng-adel,1997-02-01T00:00:00,Louisville,South Sudan,Louisville/South Sudan,79,200,1,32,Forward,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,deng_adel,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted,1.7,0.3,1,0,
202399,Jeff,Adrien,Jeff Adrien,"Adrien, Jeff",J. Adrien,jeff-adrien,1986-02-10T00:00:00,Connecticut,USA,Connecticut/USA,,,5,"","",Inactive,N,0,"","","","",jeff_adrien,2010,2014,Y,Y,Y,Undrafted,Undrafted,Undrafted,4.6,0.7,4.3,0,
201167,Arron,Afflalo,Arron Afflalo,"Afflalo, Arron",A. Afflalo,arron-afflalo,1985-10-15T00:00:00,UCLA,USA,UCLA/USA,77,210,11,4,Guard,Inactive,N,1610612753,Magic,ORL,magic,Orlando,arron_afflalo,2007,2017,N,Y,Y,2007,1,27,10.8,1.8,2.9,0,
200772,Maurice,Ager,Maurice Ager,"Ager, Maurice",M. Ager,maurice-ager,1984-02-09T00:00:00,Michigan State,USA,Michigan State/USA,77,202,3,"",Forward-Guard,Inactive,N,0,"","","","",maurice_ager,2006,2010,Y,Y,Y,2006,1,28,2.1,0.2,0.6,0,
201336,Blake,Ahearn,Blake Ahearn,"Ahearn, Blake",B. Ahearn,blake-ahearn,1984-05-27T00:00:00,Missouri State,USA,Missouri State/USA,74,190,3,2,Guard,Inactive,N,1610612748,Heat,MIA,heat,Miami,blake_ahearn,2007,2011,Y,Y,Y,Undrafted,Undrafted,Undrafted,4.6,1.2,1.2,0,
201582,Alexis,Ajinca,Alexis Ajinca,"Ajinca, Alexis",A. Ajinca,alexis-ajinca,1988-05-06T00:00:00,Hyeres-Toulon,France,Hyeres-Toulon/France,86,248,7,42,Center,Inactive,N,1610612740,Pelicans,NOP,pelicans,New Orleans,alexis_ajinca,2008,2017,Y,Y,Y,2008,1,20,5.3,0.5,3.9,0,
203006,Josh,Akognon,Josh Akognon,"Akognon, Josh",J. Akognon,josh-akognon,1986-02-10T00:00:00,California State-Fullerton,USA,California State-Fullerton/USA,71,185,1,10,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,josh_akognon,2012,2012,Y,Y,Y,Undrafted,Undrafted,Undrafted,1.7,0.3,0.3,0,
1629152,DeVaughn,Akoon-Purcell,DeVaughn Akoon-Purcell,"Akoon-Purcell, DeVaughn",D. Akoon-Purcell,devaughn-akoon-purcell,1993-06-05T00:00:00,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,78,200,1,"",Guard-Forward,Inactive,N,0,"","","","",devaughn_akoon-purcell,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted,1,0.9,0.6,0,
202374,Solomon,Alabi,Solomon Alabi,"Alabi, Solomon",S. Alabi,solomon-alabi,1988-03-21T00:00:00,Florida State,Nigeria,Florida State/Nigeria,85,252,2,50,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,solomon_alabi,2010,2011,Y,Y,Y,2010,2,50,1.5,0.2,2.3,0,
203128,Furkan,Aldemir,Furkan Aldemir,"Aldemir, Furkan",F. Aldemir,furkan-aldemir,1991-08-09T00:00:00,Galatasaray,Turkey,Galatasaray/Turkey,82,240,1,19,Forward-Center,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,furkan_aldemir,2014,2014,N,Y,Y,2012,2,53,2.3,0.7,4.3,0,
202332,Cole,Aldrich,Cole Aldrich,"Aldrich, Cole",C. Aldrich,cole-aldrich,1988-10-31T00:00:00,Kansas,USA,Kansas/USA,83,253,8,45,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,cole_aldrich,2010,2017,Y,Y,Y,2010,1,11,3.1,0.5,3.3,0,
200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19T00:00:00,Texas,USA,Texas/USA,83,250,14,12,Center-Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,lamarcus_aldridge,2006,2020,N,Y,Y,2006,1,2,13.7,1.7,4.5,,0.096
1626146,Cliff,Alexander,Cliff Alexander,"Alexander, Cliff",C. Alexander,cliff-alexander,1995-11-16T00:00:00,Kansas,USA,Kansas/USA,80,240,1,34,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,cliff_alexander,2015,2015,Y,Y,Y,Undrafted,Undrafted,Undrafted,1.3,0,0.8,0,
724,Cory,Alexander,Cory Alexander,"Alexander, Cory",C. Alexander,cory-alexander,1973-06-22T00:00:00,Virginia,USA,Virginia/USA,73,190,7,12,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,cory_alexander,1995,2004,N,Y,Y,1995,1,29,5.5,2.7,1.6,0,
2042,Courtney,Alexander,Courtney Alexander,"Alexander, Courtney",C. Alexander,courtney-alexander,1977-04-27T00:00:00,Fresno State,USA,Fresno State/USA,77,205,3,32,Guard,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,courtney_alexander,2000,2003,N,Y,Y,2000,1,13,9,1.2,2.2,0,
201570,Joe,Alexander,Joe Alexander,"Alexander, Joe",J. Alexander,joe-alexander,1986-12-26T00:00:00,West Virginia,USA,West Virginia/USA,80,230,2,20,Forward,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,joe_alexander,2008,2009,Y,Y,Y,2008,1,8,4.2,0.7,1.8,0,
1629734,Kyle,Alexander,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,1996-10-21T00:00:00,Tennessee,Canada,Tennessee/Canada,82,216,1,17,Forward-Center,Inactive,N,1610612748,Heat,MIA,heat,Miami,kyle_alexander,2019,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,1,0,1.5,0,
2349,Victor,Alexander,Victor Alexander,"Alexander, Victor",V. Alexander,victor-alexander,1969-08-31T00:00:00,Iowa State,USA,Iowa State/USA,82,265,4,9,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,victor_alexander,1991,2001,N,Y,Y,1991,1,17,8.9,0.9,4.8,0,
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02T00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,78,205,1,6,Guard,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,nickeil_alexander-walker,2019,2020,Y,Y,Y,2019,1,17,9.2,1.9,2.8,,0.089
1628959,Rawle,Alkins,Rawle Alkins,"Alkins, Rawle",R. Alkins,rawle-alkins,1997-10-29T00:00:00,Arizona,USA,Arizona/USA,77,225,1,20,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,rawle_alkins,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted,3.7,1.3,2.6,0,
