isActive,isRookie,namePlayer,idPlayer,countSeasons,yearSeasonFirst,yearSeasonLast,idTeam,hasGamesPlayedFlag,urlPlayerStats,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerActionPhoto,hasHeadShot,hasThumbnail,hasAction,urlPlayerPhoto
0,0,Alaa Abdelnaby,76001,4,1990,1994,,0,https://stats.nba.com/player/76001,https://stats.nba.com/media/players/230x185/76001.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76001.png,https://stats.nba.com/media/players/700/76001.png,0,1,1,https://stats.nba.com/media/players/230x185/76001.png
0,0,Mahmoud Abdul-Rauf,51,10,1990,2000,,0,https://stats.nba.com/player/51,https://stats.nba.com/media/players/230x185/51.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/51.png,https://stats.nba.com/media/players/700/51.png,0,1,1,https://stats.nba.com/media/players/230x185/51.png
0,0,Tariq Abdul-Wahad,1505,6,1997,2003,,0,https://stats.nba.com/player/1505,https://stats.nba.com/media/players/230x185/1505.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1505.png,https://stats.nba.com/media/players/700/1505.png,0,1,1,https://stats.nba.com/media/players/230x185/1505.png
0,0,Shareef Abdur-Rahim,949,11,1996,2007,,0,https://stats.nba.com/player/949,https://stats.nba.com/media/players/230x185/949.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/949.png,https://stats.nba.com/media/players/700/949.png,1,1,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/949.png
0,0,Alex Abrines,203518,2,2016,2018,,0,https://stats.nba.com/player/203518,https://stats.nba.com/media/players/230x185/203518.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203518.png,https://stats.nba.com/media/players/700/203518.png,1,1,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203518.png
1,1,Precious Achiuwa,1630173,0,2020,2020,1610612748,0,https://stats.nba.com/player/1630173,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,,,,https://stats.nba.com/media/img/league/nba-headshot-fallback.png
0,0,Alex Acker,101165,3,2005,2008,,0,https://stats.nba.com/player/101165,https://stats.nba.com/media/players/230x185/101165.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101165.png,https://stats.nba.com/media/players/700/101165.png,0,1,1,https://stats.nba.com/media/players/230x185/101165.png
0,0,Mark Acres,76009,5,1987,1992,,0,https://stats.nba.com/player/76009,https://stats.nba.com/media/players/230x185/76009.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76009.png,https://stats.nba.com/media/players/700/76009.png,0,1,1,https://stats.nba.com/media/players/230x185/76009.png
0,0,Quincy Acy,203112,6,2012,2018,,0,https://stats.nba.com/player/203112,https://stats.nba.com/media/players/230x185/203112.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203112.png,https://stats.nba.com/media/players/700/203112.png,1,1,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203112.png
0,0,Hassan Adams,200801,2,2006,2008,,0,https://stats.nba.com/player/200801,https://stats.nba.com/media/players/230x185/200801.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200801.png,https://stats.nba.com/media/players/700/200801.png,0,1,1,https://stats.nba.com/media/players/230x185/200801.png
