RANK,NAME,TEAM,SALARY
1,Stephen Curry,Golden State Warriors,43006362
2,Chris Paul,Phoenix Suns,41358814
3,Russell Westbrook,Washington Wizards,41358814
4,James Harden,Brooklyn Nets,41254920
5,John Wall,Houston Rockets,41254920
6,Kevin Durant,Brooklyn Nets,40108950
7,LeBron James,Los Angeles Lakers,39219565
8,Paul George,LA Clippers,35450412
9,Klay Thompson,Golden State Warriors,35361360
10,Mike Conley,Utah Jazz,34502130
11,Kemba Walker,Boston Celtics,34379100
12,Jimmy Butler,Miami Heat,34379100
13,Kawhi Leonard,LA Clippers,34379100
14,Tobias Harris,Philadelphia 76ers,34358850
15,Khris Middleton,Milwaukee Bucks,33051724
16,Anthony Davis,Los Angeles Lakers,32742000
17,Kyrie Irving,Brooklyn Nets,31742000
18,Damian Lillard,Portland Trail Blazers,31626953
19,Kevin Love,Cleveland Cavaliers,31258256
20,Pascal Siakam,Toronto Raptors,30559200
21,Ben Simmons,Philadelphia 76ers,30559200
22,Kyle Lowry,Toronto Raptors,30500000
23,Steven Adams,New Orleans Pelicans,29592696
24,Joel Embiid,Philadelphia 76ers,29542010
25,Andrew Wiggins,Golden State Warriors,29542010
26,Nikola Jokic,Denver Nuggets,29542010
27,Kristaps Porzingis,Dallas Mavericks,29467800
28,Devin Booker,Phoenix Suns,29467800
29,Karl-Anthony Towns,Minnesota Timberwolves,29467800
30,CJ McCollum,Portland Trail Blazers,29354152
31,Bradley Beal,Washington Wizards,28751775
32,D'Angelo Russell,Minnesota Timberwolves,28649250
33,Gordon Hayward,Charlotte Hornets,28500000
34,Otto Porter Jr.,Orlando Magic,28489237
35,DeMar DeRozan,San Antonio Spurs,27739975
36,Giannis Antetokounmpo,Milwaukee Bucks,27528090
37,Rudy Gobert,Utah Jazz,27525281
38,Al Horford,Oklahoma City Thunder,27500000
39,Jamal Murray,Denver Nuggets,27285000
40,Brandon Ingram,New Orleans Pelicans,27285000
41,Jrue Holiday,Milwaukee Bucks,26231111
42,Nikola Vucevic,Chicago Bulls,26000000
43,Chandler Parsons,Atlanta Hawks,25102511
44,Buddy Hield,Sacramento Kings,24701834
45,LaMarcus Aldridge,Brooklyn Nets,24000000
46,Jaylen Brown,Boston Celtics,23735118
47,Draymond Green,Golden State Warriors,22246956
48,Harrison Barnes,Sacramento Kings,22215909
49,Fred VanVleet,Toronto Raptors,21250000
50,Victor Oladipo,Miami Heat,21000000
51,Malcolm Brogdon,Indiana Pacers,20700000
52,Domantas Sabonis,Indiana Pacers,19800000
53,Gary Harris,Orlando Magic,19610714
54,Zach LaVine,Chicago Bulls,19500000
55,Danilo Gallinari,Atlanta Hawks,19500000
56,Jerami Grant,Detroit Pistons,19050000
57,Tim Hardaway Jr.,Dallas Mavericks,18975000
58,Terry Rozier,Charlotte Hornets,18900000
59,Julius Randle,New York Knicks,18900000
60,Allen Crabbe,Minnesota Timberwolves,18500000
61,Aaron Gordon,Denver Nuggets,18136364
62,Goran Dragic,Miami Heat,18000000
63,Myles Turner,Indiana Pacers,18000000
64,Bogdan Bogdanovic,Atlanta Hawks,18000000
65,Bojan Bogdanovic,Utah Jazz,17850000
66,Evan Fournier,Boston Celtics,17150000
67,Ricky Rubio,Minnesota Timberwolves,17000000
68,Eric Bledsoe,New Orleans Pelicans,16875000
69,Eric Gordon,Houston Rockets,16869276
70,Timofey Mozgov,Orlando Magic,16720000
71,Caris LeVert,Indiana Pacers,16203704
72,Joe Harris,Brooklyn Nets,16071429
73,James Johnson,New Orleans Pelicans,16047100
74,Dennis Schroder,Los Angeles Lakers,16000000
75,Clint Capela,Atlanta Hawks,16000000
76,Cody Zeller,Charlotte Hornets,15415730
77,Danny Green,Philadelphia 76ers,15365853
78,Andre Iguodala,Miami Heat,15000000
79,Davis Bertans,Washington Wizards,15000000
80,Jonas Valanciunas,Memphis Grizzlies,15000000
81,Marcus Morris Sr.,LA Clippers,14888721
82,Luke Babbitt,Miami Heat,14651700
83,Rudy Gay,San Antonio Spurs,14500000
84,Kelly Oubre Jr.,Golden State Warriors,14375000
85,Dejounte Murray,San Antonio Spurs,14286000
86,Will Barton,Denver Nuggets,13723214
87,Marcin Gortat,LA Clippers,13565218
88,Thaddeus Young,Chicago Bulls,13545000
89,Patty Mills,San Antonio Spurs,13535714
90,Terrence Ross,Orlando Magic,13500000
91,Marcus Smart,Boston Celtics,13446428
92,Malik Beasley,Minnesota Timberwolves,13425895
93,Patrick Beverley,LA Clippers,13333333
94,Christian Wood,Houston Rockets,13015873
95,JJ Redick,Dallas Mavericks,13013700
96,Justise Winslow,Memphis Grizzlies,13000000
97,Jusuf Nurkic,Portland Trail Blazers,12888889
98,Trevor Ariza,Miami Heat,12800000
99,Courtney Lee,Dallas Mavericks,12759670
100,Brook Lopez,Milwaukee Bucks,12697674
101,Cory Joseph,Detroit Pistons,12600000
102,Kelly Olynyk,Houston Rockets,12598243
103,Miles Plumlee,Memphis Grizzlies,12500000
104,Nikola Mirotic,Milwaukee Bucks,12500000
105,T.J. Warren,Indiana Pacers,12500000
106,Tyreke Evans,Indiana Pacers,12400000
107,Markelle Fultz,Orlando Magic,12288697
108,Taurean Prince,Cleveland Cavaliers,12250000
109,Tony Snell,Atlanta Hawks,12178571
110,Robert Covington,Portland Trail Blazers,12138345
111,Kentavious Caldwell-Pope,Los Angeles Lakers,12073020
112,Larry Nance Jr.,Cleveland Cavaliers,11709091
113,Zach Randolph,Dallas Mavericks,11692308
114,Jordan Clarkson,Utah Jazz,11500000
115,Spencer Dinwiddie,Brooklyn Nets,11454048
116,Dillon Brooks,Memphis Grizzlies,11400000
117,Omer Asik,Chicago Bulls,11286516
118,Dwight Powell,Dallas Mavericks,11080125
119,Lonzo Ball,New Orleans Pelicans,11003782
120,Josh Richardson,Dallas Mavericks,10865952
121,Norman Powell,Portland Trail Blazers,10865952
122,Joe Ingles,Utah Jazz,10863637
123,Jeremy Lamb,Indiana Pacers,10500000
124,DeAndre Jordan,Brooklyn Nets,10375678
125,Zion Williamson,New Orleans Pelicans,10245480
126,Rodney Hood,Toronto Raptors,10047450
127,Tomas Satoransky,Chicago Bulls,10000000
128,Darren Collison,Los Angeles Lakers,10000000
129,Jayson Tatum,Boston Celtics,9897120
130,Anthony Edwards,Minnesota Timberwolves,9757440
131,Al-Farouq Aminu,Chicago Bulls,9720900
132,Dante Exum,Cleveland Cavaliers,9600000
133,George Hill,Philadelphia 76ers,9590602
134,De'Anthony Melton,Memphis Grizzlies,9571712
135,Deandre Ayton,Phoenix Suns,9562920
136,Kyle Anderson,Memphis Grizzlies,9505100
137,Meyers Leonard,Miami Heat,9400000
138,Montrezl Harrell,Los Angeles Lakers,9258000
139,Derrick Favors,Utah Jazz,9258000
140,Jae Crowder,Phoenix Suns,9258000
141,Serge Ibaka,LA Clippers,9258000
142,Derrick Jones Jr.,Portland Trail Blazers,9258000
143,Tristan Thompson,Boston Celtics,9258000
144,Dario Saric,Phoenix Suns,9250000
145,Ja Morant,Memphis Grizzlies,9166800
146,Delon Wright,Sacramento Kings,9000000
147,Marvin Bagley III,Sacramento Kings,8963640
148,Cedi Osman,Cleveland Cavaliers,8840580
149,Tyus Jones,Memphis Grizzlies,8817143
150,James Wiseman,Golden State Warriors,8730240
151,Royce O'Neale,Utah Jazz,8500000
152,Thomas Bryant,Washington Wizards,8333333
153,CJ Miles,Boston Celtics,8333333
154,Maxi Kleber,Dallas Mavericks,8325000
155,RJ Barrett,New York Knicks,8231760
156,Jakob Poeltl,San Antonio Spurs,8101852
157,De'Aaron Fox,Sacramento Kings,8099627
158,Luka Doncic,Dallas Mavericks,8049360
159,Mason Plumlee,Detroit Pistons,8000000
160,Lou Williams,Atlanta Hawks,8000000
161,P.J. Tucker,Milwaukee Bucks,7969537
162,LaMelo Ball,Charlotte Hornets,7839960
163,Seth Curry,Philadelphia 76ers,7834449
164,Derrick Rose,New York Knicks,7682927
165,Cristiano Felicio,Chicago Bulls,7529020
166,Rajon Rondo,LA Clippers,7500000
167,Darrell Arthur,Phoenix Suns,7464912
168,De'Andre Hunter,Atlanta Hawks,7422000
169,Jonathan Isaac,Orlando Magic,7362566
170,Doug McDermott,Indiana Pacers,7333333
171,Robin Lopez,Washington Wizards,7300000
172,Jaren Jackson Jr.,Memphis Grizzlies,7257360
173,JaMychal Green,Denver Nuggets,7199760
174,Patrick Williams,Chicago Bulls,7068360
175,Aron Baynes,Toronto Raptors,7000000
176,Darius Miller,Oklahoma City Thunder,7000000
177,Ivica Zubac,LA Clippers,7000000
178,Chris Boucher,Toronto Raptors,6750000
179,Lauri Markkanen,Chicago Bulls,6731508
180,Darius Garland,Cleveland Cavaliers,6720720
181,D.J. Augustin,Houston Rockets,6666667
182,Trae Young,Atlanta Hawks,6571800
183,Juancho Hernangomez,Minnesota Timberwolves,6493000
184,Isaac Okoro,Cleveland Cavaliers,6400920
185,Milos Teodosic,LA Clippers,6300000
186,Frank Ntilikina,New York Knicks,6176578
187,Wesley Johnson,Washington Wizards,6134520
188,Jarrett Culver,Minnesota Timberwolves,6104280
189,Ish Smith,Washington Wizards,6000000
190,Alec Burks,New York Knicks,6000000
191,Mo Bamba,Orlando Magic,5969040
192,Onyeka Okongwu,Atlanta Hawks,5813640
193,Justin Holiday,Indiana Pacers,5720000
194,Jonathon Simmons,Washington Wizards,5700000
195,Dennis Smith Jr.,Detroit Pistons,5686677
196,Avery Bradley,Houston Rockets,5635000
197,Coby White,Chicago Bulls,5572680
198,Trey Lyles,San Antonio Spurs,5500000
199,Alex Abrines,Oklahoma City Thunder,5455236
200,Jason Smith,New Orleans Pelicans,5450000
201,Wendell Carter Jr.,Orlando Magic,5448840
202,Zach Collins,San Antonio Spurs,5406255
203,Malik Monk,Charlotte Hornets,5345687
204,Killian Hayes,Detroit Pistons,5307120
205,Alexis Ajinca,LA Clippers,5285394
206,Luke Kennard,LA Clippers,5273826
207,Donovan Mitchell,Utah Jazz,5195501
208,Rodney McGruder,Detroit Pistons,5192307
209,Bam Adebayo,Miami Heat,5115492
210,Jaxson Hayes,New Orleans Pelicans,5105160
211,Richaun Holmes,Sacramento Kings,5005350
212,Mike Scott,Philadelphia 76ers,5005350
213,Ed Davis,Minnesota Timberwolves,5005350
214,Enes Freedom,Portland Trail Blazers,5005350
215,Elfrid Payton,New York Knicks,5000000
216,Nerlens Noel,New York Knicks,5000000
217,Dirk Nowitzki,Dallas Mavericks,5000000
218,Daniel Theis,Chicago Bulls,5000000
219,Kyle Singler,Oklahoma City Thunder,4996000
220,Collin Sexton,Cleveland Cavaliers,4991880
221,Pat Connaughton,Milwaukee Bucks,4938272
222,Obi Toppin,New York Knicks,4862040
223,Josh Jackson,Detroit Pistons,4767000
224,Kris Dunn,Atlanta Hawks,4767000
225,Garrett Temple,Chicago Bulls,4767000
226,Rui Hachimura,Washington Wizards,4692840
227,Denzel Valentine,Chicago Bulls,4642800
228,Kevin Knox II,New York Knicks,4588680
229,D.J. Wilson,Houston Rockets,4548280
230,Deni Avdija,Washington Wizards,4469160
231,Kevon Looney,Golden State Warriors,4464226
232,Cam Reddish,Atlanta Hawks,4458000
233,T.J. Leaf,Portland Trail Blazers,4326825
234,Jalen Smith,Phoenix Suns,4245720
235,JaVale McGee,Denver Nuggets,4200000
236,Reggie Bullock,New York Knicks,4200000
237,Mikal Bridges,Phoenix Suns,4161000
238,Shai Gilgeous-Alexander,Oklahoma City Thunder,4141320
239,John Collins,Atlanta Hawks,4137302
240,Nicolo Melli,Dallas Mavericks,4102564
241,Willie Cauley-Stein,Dallas Mavericks,4100000
242,Devin Vassell,San Antonio Spurs,4033440
243,Cameron Johnson,Phoenix Suns,4033440
244,P.J. Washington,Charlotte Hornets,4023600
245,Patrick McCaw,Toronto Raptors,4000000
246,Dorian Finney-Smith,Dallas Mavericks,4000000
247,Terrance Ferguson,Philadelphia 76ers,3944013
248,Miles Bridges,Charlotte Hornets,3934320
249,Jevon Carter,Phoenix Suns,3925000
250,Jarrett Allen,Cleveland Cavaliers,3909902
251,OG Anunoby,Toronto Raptors,3872215
252,Gabriel Deck,Oklahoma City Thunder,3870370
253,Tyrese Haliburton,Sacramento Kings,3831840
254,Stanley Johnson,Toronto Raptors,3804150
255,Jake Layman,Minnesota Timberwolves,3761085
256,Jerome Robinson,Washington Wizards,3737520
257,Danuel House Jr.,Houston Rockets,3717000
258,Kira Lewis Jr.,New Orleans Pelicans,3640200
259,Romeo Langford,Boston Celtics,3631200
260,Maurice Harkless,Sacramento Kings,3623000
261,Bobby Portis,Milwaukee Bucks,3623000
262,Wesley Matthews,Los Angeles Lakers,3623000
263,Kyle Kuzma,Los Angeles Lakers,3562178
264,Allonzo Trier,New York Knicks,3551000
265,Michael Porter Jr.,Denver Nuggets,3550800
266,Tony Bradley,Oklahoma City Thunder,3542060
267,Derrick White,San Antonio Spurs,3516284
268,Bismack Biyombo,Charlotte Hornets,3500000
269,Michael Beasley,Brooklyn Nets,3500000
270,Luca Vildoza,Milwaukee Bucks,3500000
271,T.J. McConnell,Indiana Pacers,3500000
272,Boban Marjanovic,Dallas Mavericks,3500000
273,Josh Hart,New Orleans Pelicans,3491159
274,Aaron Nesmith,Boston Celtics,3458400
275,Sekou Doumbouya,Detroit Pistons,3449400
276,Michael Carter-Williams,Orlando Magic,3300000
277,James Ennis III,Orlando Magic,3300000
278,Cole Anthony,Orlando Magic,3285120
279,Troy Brown Jr.,Chicago Bulls,3219480
280,Facundo Campazzo,Denver Nuggets,3200000
281,Chuma Okeke,Orlando Magic,3121080
282,Isaiah Stewart,Detroit Pistons,3121080
283,Nickeil Alexander-Walker,New Orleans Pelicans,3113160
284,Patrick Patterson,LA Clippers,3077704
285,Donte DiVincenzo,Milwaukee Bucks,3044160
286,Khem Birch,Toronto Raptors,3000000
287,Ryan Arcidiacono,Chicago Bulls,3000000
288,Trey Burke,Dallas Mavericks,3000000
289,Aleksej Pokusevski,Oklahoma City Thunder,2964840
290,Goga Bitadze,Indiana Pacers,2957520
291,Lonnie Walker IV,San Antonio Spurs,2892000
292,Luka Samanic,San Antonio Spurs,2892000
293,Josh Green,Dallas Mavericks,2816760
294,Kevin Huerter,Atlanta Hawks,2761920
295,Alex Caruso,Los Angeles Lakers,2750000
296,Matisse Thybulle,Philadelphia 76ers,2711280
297,Saddiq Bey,Detroit Pistons,2689920
298,Josh Okogie,Minnesota Timberwolves,2651040
