Team,Division,Conference,Win_Count
Atlanta Hawks,Southeast Division,Eastern Conference,41
Boston Celtics,Atlantic Division,Eastern Conference,36
Brooklyn Nets,Atlantic Division,Eastern Conference,48
Charlotte Hornets,Southeast Division,Eastern Conference,33
Chicago Bulls,Central Division,Eastern Conference,31
Cleveland Cavaliers,Central Division,Eastern Conference,22
Dallas Mavericks,Southwest Division,Western Conference,42
Denver Nuggets,Northwest Division,Western Conference,47
Detroit Pistons,Central Division,Eastern Conference,20
Golden State Warriors,Pacific Division,Western Conference,39
Houston Rockets,Southwest Division,Western Conference,17
Indiana Pacers,Central Division,Eastern Conference,34
LA Clippers,Pacific Division,Western Conference,47
Los Angeles Lakers,Pacific Division,Western Conference,42
Memphis Grizzlies,Southwest Division,Western Conference,38
Miami Heat,Southeast Division,Eastern Conference,40
Milwaukee Bucks,Central Division,Eastern Conference,46
Minnesota Timberwolves,Northwest Division,Western Conference,23
New Orleans Pelicans,Southwest Division,Western Conference,31
New York Knicks,Atlantic Division,Eastern Conference,41
Oklahoma City Thunder,Northwest Division,Western Conference,22
Orlando Magic,Southeast Division,Eastern Conference,21
Philadelphia 76ers,Atlantic Division,Eastern Conference,49
Phoenix Suns,Pacific Division,Western Conference,51
Portland Trail Blazers,Northwest Division,Western Conference,42
Sacramento Kings,Pacific Division,Western Conference,31
San Antonio Spurs,Southwest Division,Western Conference,33
Toronto Raptors,Atlantic Division,Eastern Conference,27
Utah Jazz,Northwest Division,Western Conference,52
Washington Wizards,Southeast Division,Eastern Conference,34
